calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/24/2011,8/24/11 12:00,215,thankyou.wav,1005014,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:00,7,"1314167426	9898570183	7930142000	1314167444	Prompt",1004032,BHETSUDA,2,8,24,11
1,8/24/2011,8/24/11 12:00,N/A,N/A,1005017,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:01,143,08-24-2011_105411.mp3,1005015,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:10,215,thankyou.wav,1005034,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,214,thankyou.wav,1005020,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:10,N/A,N/A,1005024,BHIMORA,1,8,24,11
1,8/24/2011,8/24/11 12:10,214,thankyou.wav,1005040,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,206,08-24-2011_105411.mp3,1005041,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,N/A,N/A,1005035,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,214,thankyou.wav,1005022,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,214,thankyou.wav,1005031,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,5,welcome.wav,1005038,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:10,N/A,N/A,1005018,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:20,N/A,N/A,1006011,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:20,N/A,N/A,1006006,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:20,N/A,N/A,1005042,BHIMORA,2,8,24,11
1,8/24/2011,8/24/11 12:20,N/A,N/A,1006002,CHIRODA,1,8,24,11
1,8/24/2011,8/24/11 12:20,215,thankyou.wav,1006015,CHIRODA,2,8,24,11
1,8/24/2011,8/24/11 12:20,145,thankyou.wav,1005043,BHIMORA,2,8,24,11
